name=rebase; type=kernel; upstream_status=ignore;
name=packaging; type=scripts; upstream_status=NA;
name=mlx5_sfs; type=features; upstream_status=in_progress;
name=persistent_names; type=bug; upstream_status=NA;
name=sw_steering; type=features; upstream_status=in_progress;
name=ofed_scripts; type=scripts; upstream_status=ignore;
name=mlx5_single_fdb_lag; type=feature; upstream_status=in_progress;
name=mlx5_bugs; type=bug; upstream_status=NA;
name=pci_device_id; type=feature; upstream_status=in_progress;
name=infiniband_diags; type=feature; upstream_status=accepted;
name=ib_router_support; type=feature; upstream_status=in_progress;
name=pyverbs; type=feature; upstream_status=NA;
name=depricated_nics; type=feature; upstream_status=NA;
name=srp_daemon_bugs; type=bug; upstream_status=in_progress;
name=query_gid_table; type=feature; upstream_status=accepted;
name=qos; type=feature; upstream_status=in_progress;
name=sw_steering; type=feature; upstream_status=accepted;
name=udp_sport; type=feature; upstream_status=in_progress;
name=dc_cm; type=feature; upstream_status=in_progress;
name=upstream_fixes; type=feature; upstream_status=in_progress;
name=dct_support; type=feature; upstream_status=in_progress;
name=signature_offload; type=feature; upstream_status=in_progress;
name=data_in_order; type=feature; upstream_status=in_progress;
name=wr_raw_wqe; type=feature; upstream_status=accepted;
name=dci_stream; type=feature; upstream_status=accepted;
name=wr_memcpy; type=feature; upstream_status=in_progress;
name=devx; type=bug; upstream_status=in_progress
name=ndr_support; type=feature; upstream_status=in_progress;
name=librdmacm_bugs; type=bug; upstream_status=in_progress;
name=aes_xts; type=feature; upstream_status=in_progress;
name=upstream_diff; type=feature; upstream_status=accepted;
name=jump_to_kernel; type=feature; upstream_status=in_progress;
